# EL-01: annual rates of pay (in dollars)
# Section: Appendix “B‑1”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"C) September 1, 2024",395.21,409.10,422.98,436.86,454.34,484.90
"Z) September 1, 2024 - Wage Adjustment",396.20,410.12,424.04,437.95,455.47,486.11
"D) September 1, 2025",404.12,418.33,432.52,446.71,464.58,495.83

# EL-09: daily rates of pay (in dollars)
# Section: Appendix “B-3”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",383.55,397.16,410.77,424.38,441.34,471.06
"A) September 1, 2022",396.97,411.06,425.15,439.23,456.79,487.54
"X) September 1, 2022 - Wage Adjustment",401.94,416.20,430.46,444.72,462.50,493.64
"B) September 1, 2023",413.99,428.68,443.38,458.06,476.38,508.44
"Y) September 1, 2023 - Market Adjustment",416.06,430.82,445.59,460.35,478.76,510.99
"C) September 1, 2024",424.39,439.44,454.50,469.56,488.34,521.21
"Z) September 1, 2024 - Wage Adjustment",425.45,440.54,455.64,470.73,489.55,522.51
"D) September 1, 2025",433.96,449.35,464.75,480.14,499.34,532.96

# EL-01: hourly rates of pay (in dollars)
# Section: Appendix “B-4”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",19.32,20.22,21.13,22.03,22.94,23.84
"A) September 1, 2022",20.00,20.93,21.87,22.80,23.74,24.67
"X) September 1, 2022 - Wage Adjustment",20.25,21.19,22.14,23.09,24.04,24.98
"B) September 1, 2023",20.86,21.83,22.81,23.78,24.76,25.73
"Y) September 1, 2023 - Market Adjustment",20.96,21.94,22.92,23.90,24.88,25.86
"C) September 1, 2024",21.38,22.37,23.38,24.38,25.38,26.38
"Z) September 1, 2024 - Wage Adjustment",21.43,22.43,23.44,24.44,25.44,26.44
"D) September 1, 2025",21.86,22.88,23.90,24.93,25.95,26.97

# EL-01: hourly rates of pay (in dollars): continuation
# Section: Appendix “B-4”
Effective date,Step 7,Step 8,Step 9,Step 10
"$) September 1, 2021",24.74,25.64,26.54,28.44
"A) September 1, 2022",25.61,26.54,27.47,29.44
"X) September 1, 2022 - Wage Adjustment",25.93,26.87,27.82,29.80
"B) September 1, 2023",26.71,27.68,28.65,30.70
"Y) September 1, 2023 - Market Adjustment",26.84,27.82,28.79,30.85
"C) September 1, 2024",27.38,28.37,29.37,31.47
"Z) September 1, 2024 - Wage Adjustment",27.44,28.44,29.44,31.55
"D) September 1, 2025",27.99,29.01,30.03,32.18

# EL-02: hourly rates of pay (in dollars)
# Section: Appendix “B-4”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",26.58,27.60,29.80,32.00,34.29
"A) September 1, 2022",27.51,28.56,30.84,33.12,35.49
"X) September 1, 2022 - Wage Adjustment",27.85,28.92,31.23,33.53,35.93
"B) September 1, 2023",28.69,29.79,32.16,34.54,37.01
"Y) September 1, 2023 - Market Adjustment",28.83,29.93,32.32,34.71,37.19
"C) September 1, 2024",29.41,30.53,32.97,35.41,37.94
"Z) September 1, 2024 - Wage Adjustment",29.48,30.61,33.05,35.49,38.03
"D) September 1, 2025",30.07,31.22,33.71,36.20,38.79

# EL-03: hourly rates of pay (in dollars)
# Section: Appendix “B-4”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) September 1, 2021",29.52,30.65,33.09,35.53,38.07
"A) September 1, 2022",30.55,31.72,34.25,36.77,39.40
"X) September 1, 2022 - Wage Adjustment",30.94,32.12,34.67,37.23,39.89
"B) September 1, 2023",31.86,33.08,35.71,38.35,41.09
"Y) September 1, 2023 - Market Adjustment",32.02,33.25,35.89,38.54,41.30
"C) September 1, 2024",32.66,33.91,36.61,39.31,42.12
"Z) September 1, 2024 - Wage Adjustment",32.75,34.00,36.70,39.41,42.23
"D) September 1, 2025",33.40,34.68,37.44,40.20,43.07

# EL-04: hourly rates of pay (in dollars)
# Section: Appendix “B-4”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) September 1, 2021",32.91,34.17,35.44,36.70,38.17,40.74
"A) September 1, 2022",34.06,35.36,36.68,37.99,39.51,42.17
"X) September 1, 2022 - Wage Adjustment",34.49,35.81,37.14,38.46,40.00,42.69
